Provincia;Municipio;Localidad;Codigo_postal;Direccion;Margen;Longitud;Latitud;Precio_gasolina_95;Precio_gasoleo_A;Precio_gasoleo_B;Precio_bioetanol;Precio_nuevo_gasoleo_A;Precio_biodiesel;Porc_ester_metilico;Porc_bioalcohol;Precio_gasolina_98;Precio_gas_natural_comprimido;Precio_gas_natural_licuado;Precio_gases_licuados_del_petroleo;Rotulo;Tipo_venta;Rem.;Horario
ÁLAVA;ALEGRÍA-DULANTZI;ALEGRIA-DULANTZI;01240;CALLE GASTEIZBIDEA, 59;D;-2,519194;42,842917;1,159;1,069;;;;;;;;;;;ES DULANTZI REPSOL;P;dm;L-D: 07:00-20:00
ÁLAVA;ALEGRÍA-DULANTZI;ALEGRIA-DULANTZI;01240;CL MANISITU, 9;D;-2,509361;42,846028;;1,039;0,726;;;;;;;;;;PREMIRA ENERGIA NORTE, S.L.;P;dm;L-D: 24H
ÁLAVA;AMURRIO;LARRINBE;01468;POLIGONO ZANKUETA, 0;D;-2,989111;43,044333;1,069;0,979;;;1,059;;;;1,189;;;;ESTACIONES GB;P;dm;L-D: 24H
ÁLAVA;AMURRIO;LEZAMA;01450;CARRETERA A-624 KM. 37,8;D;-2,967611;43,031889;1,149;1,065;;;1,125;;;;1,274;;;;CEPSA;P;OM;L-D: 06:00-22:00
ÁLAVA;ARRAIA-MAEZTU;MAEZTU/MAESTU;01120;CARRETERA A-132 VITORIA-ESTELLA KM. 23;I;-2,477917;42,753194;1,250;1,145;;;;;;;1,315;;;;(SIN RÓTULO);P;dm;L-D: 07:00-23:00
ÁLAVA;ARRAZUA-UBARRUNDIA;LUKO;01510;N-240-B km 11,8;D;-2,639528;42,941417;1,149;1,069;;;1,139;;;;1,274;;;;CEPSA;P;OM;L-D: 09:00-21:00
ÁLAVA;ARRAZUA-UBARRUNDIA;ZURBANO;01520;AUTOVIA N-1 km 358;N;-2,616361;42,876861;1,149;1,059;;;1,129;1,129;;;1,273;;;;AVIA;P;dm;L-D: 24H
ÁLAVA;ARTZINIEGA;ARTZINIEGA;01474;AVENIDA GARAY, 23;D;-3,122528;43,123361;1,125;1,045;0,635;;1,075;;;;1,255;;;;AVIA ;P;dm;L-V: 07:00-20:00
ÁLAVA;ASPARRENA;ARAIA;01250;CALLE DEIDA, 6;D;-2,312056;42,870861;;0,960;;;;;;;;;;;ADS;P;dm;L-D: 24H
ÁLAVA;ASPARRENA;ILARDUIA;01260;N-IA km 385,1;I;-2,278694;42,866417;1,119;1,029;;;1,089;;;;;;;;CEPSA;P;OM;L-D: 24H
ÁLAVA;CAMPEZO/KANPEZU;SANTA CRUZ CAMPEZO;01110;CR A-132  VITORIA-ESTELLA, 38,1;I;-2,357278;42,670222;1,070;0,949;0,710;;1,150;;;;;;;;PETRONOR;P;dm;L-V: 06:00-22:00, S: 06:30-14:00
ÁLAVA;ELBURGO/BURGELU;ELBURGO/BURGELU;01192;CARRETERA N-1 KM. 364,4;D;-2,518167;42,878556;1,139;1,059;0,729;;1,129;;;;1,263;;;0,665;REPSOL;P;OM;L-D: 06:00-22:00
ÁLAVA;IRUÑA OKA/IRUÑA DE OCA;NANCLARES DE LA OCA;01230;CALLE TRATADO DE PARIS, 6;D;-2,772250;42,823778;0,943;0,846;;;;;;;;;;;EUROCAM;P;dm;L-D: 24H
ÁLAVA;IRUÑA OKA/IRUÑA DE OCA;NANCLARES DE LA OCA;01230;CALLE TRATADO DE MAASTRICH, 1;D;-2,774750;42,825250;;0,846;0,799;;;;;;;;;;PETRONIEVES;P;dm;L-V: 06:00-21:00, S: 08:00-12:00, D: 24H
ÁLAVA;IRUÑA OKA/IRUÑA DE OCA;NANCLARES DE LA OCA;01230;CALLE A-1 KM 342. POL. IND. SUBILLABIDE (SUVILLAVIDE BIDEA), 2;D;-2,770694;42,824389;;;;;;;;;;0,933;0,819;;NATURGY;P;dm;L-D: 24H
ÁLAVA;LABASTIDA;SALINILLAS DE BURADON;01212;CARRETERA N-124 KM. 35;I;-2,849833;42,635194;1,119;1,039;0,732;;1,089;;;;1,219;;;;REPSOL;P;OM;L-D: 09:00-14:00
ÁLAVA;LAGUARDIA;LAGUARDIA;01300;CARRETERA A-124 KM. 65;I;-2,578806;42,547639;1,119;1,059;0,773;;1,139;;;;;;;;REPSOL;P;OM;L-V: 07:00-21:45, S-D: 08:00-21:45
ÁLAVA;LANTARÓN;PUENTELARRÁ/LARRAZUBI;01423;CARRETERA A-2122 KM. 11;I;-3,045750;42,755583;0,990;0,890;;;;;;;;;;;AVIA;P;dm;L-D: 07:00-21:00
ÁLAVA;LLODIO;LAUDIO/LLODIO;01400;CL ARETA, 2;D;-2,951361;43,148639;1,139;1,059;;;1,139;;;;1,279;;;;PETRONOR;P;OM;L-D: 06:00-22:00
ÁLAVA;LLODIO;LAUDIO/LLODIO;01400;AVENIDA ZUMALACARREGUI (C.C. EROSKI), S/N;I;-2,968000;43,138000;1,069;0,989;;;1,069;;;;1,209;;;;EROSKI;P;dm;L-S: 07:30-21:30
ÁLAVA;OYÓN/OION;OYON-OION;01320;CARRETERA LOGROÑO KM. 10;D;-2,432278;42,490611;1,115;1,045;0,919;;;;;;1,245;;;;E.S. OION;P;dm;L-D: 07:00-23:00
ÁLAVA;RIBERA ALTA;POBES;01420;ACCESO A2622, 0;N;-2,901944;42,811250;1,139;1,025;0,659;;;;;;;;;;E.S. TOCALU S.L.;P;dm;L-D: 07:00-22:00
ÁLAVA;RIBERA BAJA/ERRIBERA BEITIA;IGAY;01213;AU AP-68, 63,5;I;-2,913222;42,741361;1,179;1,079;;;1,129;;;;1,279;;;;PETRONOR;P;OM;L-D: 24H
ÁLAVA;RIBERA BAJA/ERRIBERA BEITIA;IGAY;01213;AU AP-68, 63  D;D;-2,913306;42,743111;1,179;1,079;;;1,129;;;;1,279;;;;PETRONOR;P;OM;L-D: 24H
ÁLAVA;RIBERA BAJA/ERRIBERA BEITIA;RIBABELLOSA;01213;AVENIDA ALAVA, 12;D;-2,920667;42,692917;1,139;1,059;0,869;;1,139;1,229;;;1,279;;;;EESS DYNEFF;P;dm;L-D: 24H
